Time,ID,Temperature,Humidity,xpos,ypos
2024-03-26T13:19:27.522722467Z,1,23.246,34,10,50
2024-03-26T13:29:27.572849915Z,2,23.323,35,10,50
2024-03-26T13:39:27.576437303Z,3,23.328,35,10,50
2024-03-26T13:49:27.602963034Z,4,23.449,35,10,50
2024-03-26T13:59:27.800430561Z,5,23.515,35,10,50
2024-03-26T14:09:27.655558516Z,6,23.517,34,10,50
2024-03-26T14:19:27.685060366Z,7,23.536,33,10,50
2024-03-26T14:29:27.716479964Z,8,23.579,33,10,50
2024-03-26T14:49:27.765087899Z,9,23.508,33,10,50
2024-03-26T14:59:27.794858117Z,10,23.48,33,10,50
2024-03-26T15:09:27.825426639Z,11,23.454,33,10,50
2024-03-26T15:19:27.842759059Z,12,23.367,32,10,50
2024-03-28T20:49:23.307265802Z,13,11.187,97,10,50
2024-03-28T21:19:23.367024534Z,14,11.317,96,10,50
2024-03-28T23:29:23.792357203Z,15,12.871,78,10,50
2024-03-29T00:09:23.886063718Z,16,13.554,74,10,50
2024-03-29T00:29:23.926490337Z,17,12.396,99,10,50
2024-03-29T00:39:23.956675940Z,18,11.969,99,10,50
2024-03-29T00:49:23.980725833Z,19,11.424,99,10,50
2024-03-29T01:19:24.080575513Z,20,9.336,99,10,50
