blob-name;process-status;connection-dev-eui;diversen-id;azure-partition;azure-enqueue-time-utc;ttn-received-at;particulate-matter;temperature;humidity;bat-voltage;bat-current;bat-power;life-signal;solar-sys-enabled;solar-auto-enabled;solar-status;power-save-mode;software-release;report-detail;battery-level;measure-interval;uplink-rx0-rssi;ttn-dev-eui;ttn-device-id;ttn-received-at;gateway0-received-at;gateway0-gps-time;gateway0-id;gateway0-eui
iothub-divesen/2024/03/26/15/00/00.json;Success;eui-2cf7f120502060d0;3;20;03/26/2024 14:59:28;2024-03-26T14:59:27.998155639Z;3.104;23.48;33;4.118;0.009;37.062000000000005;False;True;True;True;False;1;0;236;10;-120;2CF7F120502060D0;eui-2cf7f120502060d0;2024-03-26T14:59:27.794858117Z;2024-03-26T14:59:27.787036820Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/26/15/09/00.json;Warning;eui-2cf7f120502041e9;0;20;03/26/2024 15:08:54;2024-03-26T15:08:54.653182650Z;0;0;0;0;0;0;False;False;False;False;False;0;0;0;0;0;;;;;01/01/0001 00:00:00;;
iothub-divesen/2024/03/26/15/09/00.json;Success;eui-2cf7f120502060d0;3;20;03/26/2024 15:09:28;2024-03-26T15:09:28.031605283Z;3.257;23.454;33;4.118;0.009;37.062000000000005;False;True;True;True;False;1;0;236;10;-117;2CF7F120502060D0;eui-2cf7f120502060d0;2024-03-26T15:09:27.825426639Z;2024-03-26T15:09:27.820810374Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/26/15/19/00.json;Success;eui-2cf7f120502041e9;0;20;03/26/2024 15:18:53;2024-03-26T15:18:53.170429115Z;2.499;23.083;34;4.146;0.009;37.314;False;True;True;True;False;1;0;242;10;-118;2CF7F120502041E9;eui-2cf7f120502041e9;2024-03-26T15:18:52.966764108Z;2024-03-26T15:18:52.960093551Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/26/15/19/00.json;Success;eui-2cf7f120502060d0;3;20;03/26/2024 15:19:28;2024-03-26T15:19:28.046583802Z;3.372;23.367;32;4.117;0.009;37.053;False;True;True;True;False;1;0;236;10;-120;2CF7F120502060D0;eui-2cf7f120502060d0;2024-03-26T15:19:27.842759059Z;2024-03-26T15:19:27.838725405Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/08/45/03.json;Warning;eui-2cf7f1205020607d;0;20;03/27/2024 08:45:10;2024-03-27T08:45:09.019889823Z;0;0;0;0;0;0;False;False;False;False;False;0;0;0;0;0;;;;;01/01/0001 00:00:00;;
iothub-divesen/2024/03/27/08/45/03.json;Warning;eui-2cf7f1205020607d;0;20;03/27/2024 08:45:40;2024-03-27T08:45:39.806494379Z;0;0;0;0;0;0;False;False;False;False;False;0;0;0;0;0;;;;;01/01/0001 00:00:00;;
iothub-divesen/2024/03/27/08/46/02.json;Warning;eui-2cf7f12050208270;0;20;03/27/2024 08:45:31;2024-03-27T08:45:30.652069127Z;0;0;0;0;0;0;False;False;False;False;False;0;0;0;0;0;;;;;01/01/0001 00:00:00;;
iothub-divesen/2024/03/27/08/56/02.json;Success;eui-2cf7f12050208270;4;20;03/27/2024 08:55:29;2024-03-27T08:55:28.865731839Z;2.019;22.454;30;3.994;-0.003;-11.982000000000001;False;True;True;True;False;1;0;210;10;-119;2CF7F12050208270;eui-2cf7f12050208270;2024-03-27T08:55:28.661556708Z;2024-03-27T08:55:28.656415989Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/09/06/02.json;Success;eui-2cf7f12050208270;4;20;03/27/2024 09:05:29;2024-03-27T09:05:28.899193971Z;2.329;23.304;29;3.994;-0.003;-11.982000000000001;False;True;True;True;False;1;0;210;10;-118;2CF7F12050208270;eui-2cf7f12050208270;2024-03-27T09:05:28.695428624Z;2024-03-27T09:05:28.685576426Z;01/01/0001 00:00:00;packetbroker;
